"tf","fam","target","dna_binding.conservation","dna_binding.dapSeq","coDiffExp_0PF","coDiffExp_P0F","coDiffExp_0P0F","coDiffExp","p.rf","rank","mode_of_regulation"
"AT5G54230","MYB","AT5G43690",0,1,1,0,0,1,0.943425583043611,2.94342558304361,"activation"
"AT1G77200","AP2/ERF-ERF","AT2G26290",1,1,1,0,0,1,0.917981773727495,2.9179817737275,"repression"
"AT1G77200","AP2/ERF-ERF","AT1G24706",0,1,1,0,0,1,0.912412401917407,2.91241240191741,"activation"
"AT1G77200","AP2/ERF-ERF","AT3G03640",0,1,1,0,0,1,0.886029180488746,2.88602918048875,"repression"
"AT5G54230","MYB","AT5G24890",0,1,1,0,0,1,0.885844653109496,2.8858446531095,"activation"
"AT3G16280","AP2/ERF-ERF","AT5G13970",0,1,1,1,0,1,0.834923484044672,2.83492348404467,"activation"
"AT3G16280","AP2/ERF-ERF","AT3G03640",0,1,1,1,0,1,0.826477162639916,2.82647716263992,"activation"
"AT3G16280","AP2/ERF-ERF","AT1G15580",0,1,1,1,0,1,0.825684533669956,2.82568453366996,"repression"
"AT1G77200","AP2/ERF-ERF","AT3G16280",0,1,1,0,0,1,0.817099816730762,2.81709981673076,"repression"
"AT1G77200","AP2/ERF-ERF","AT5G58530",0,1,1,0,0,1,0.816579785025603,2.8165797850256,"activation"
"AT1G77200","AP2/ERF-ERF","AT4G17430",0,1,1,0,0,1,0.760948973985833,2.76094897398583,"activation"
"AT1G77200","AP2/ERF-ERF","AT4G34710",0,1,1,0,0,1,0.756159649733484,2.75615964973348,"repression"
"AT1G77200","AP2/ERF-ERF","AT2G25940",0,1,1,0,0,1,0.750695123025243,2.75069512302524,"repression"
"AT5G54230","MYB","AT5G10020",0,1,1,0,0,1,0.708027360377778,2.70802736037778,"repression"
"AT1G77200","AP2/ERF-ERF","AT5G19110",0,1,1,0,0,1,0.702122484241781,2.70212248424178,"activation"
"AT5G54230","MYB","AT1G27050",0,1,1,0,0,1,0.700952412905174,2.70095241290517,"repression"
"AT5G54230","MYB","AT1G05670",0,1,1,0,0,1,0.699643946034129,2.69964394603413,"activation"
"AT1G77200","AP2/ERF-ERF","AT4G01140",1,1,1,0,0,1,0.697681245727562,2.69768124572756,"repression"
"AT3G16280","AP2/ERF-ERF","AT3G30180",0,1,1,1,0,1,0.687964201688426,2.68796420168843,"activation"
"AT3G16280","AP2/ERF-ERF","AT3G59710",0,1,1,1,0,1,0.687150603698096,2.6871506036981,"activation"
"AT5G54230","MYB","AT5G58530",0,1,1,0,0,1,0.673092972442513,2.67309297244251,"repression"
"AT1G77200","AP2/ERF-ERF","AT5G65640",0,1,1,0,0,1,0.666034800186205,2.66603480018621,"activation"
"AT1G77200","AP2/ERF-ERF","AT1G27050",0,1,1,0,0,1,0.65161650178027,2.65161650178027,"activation"
"AT1G77200","AP2/ERF-ERF","AT5G07560",0,1,1,0,0,1,0.650786128573645,2.65078612857365,"repression"
"AT5G54230","MYB","AT2G31670",0,1,1,0,0,1,0.609007452389839,2.60900745238984,"activation"
"AT3G16280","AP2/ERF-ERF","AT2G03360",0,1,1,1,0,1,0.606939906981426,2.60693990698143,"activation"
"AT1G77200","AP2/ERF-ERF","AT5G25460",0,1,1,0,0,1,0.523411911242331,2.52341191124233,"repression"
"AT1G77200","AP2/ERF-ERF","AT1G15580",0,1,1,0,0,1,0.492121939047252,2.49212193904725,"repression"
"AT1G77200","AP2/ERF-ERF","AT5G43690",0,1,1,0,0,1,0.478487882003129,2.47848788200313,"repression"
"AT1G77200","AP2/ERF-ERF","AT2G24850",0,1,1,0,0,1,0.45209627296632,2.45209627296632,"repression"
"AT3G16280","AP2/ERF-ERF","AT4G29690",0,1,1,1,0,1,0.430179452876321,2.43017945287632,"repression"
"AT1G77200","AP2/ERF-ERF","AT5G13970",0,1,1,0,0,1,0.429869111374855,2.42986911137485,"activation"
"AT3G16280","AP2/ERF-ERF","AT3G15060",0,1,1,1,0,1,0.427684139452373,2.42768413945237,"repression"
"AT3G16280","AP2/ERF-ERF","AT1G62260",0,1,1,1,0,1,0.42419489446292,2.42419489446292,"activation"
"AT1G77200","AP2/ERF-ERF","AT5G50260",0,1,1,0,0,1,0.408375865496316,2.40837586549632,"repression"
"AT5G54230","MYB","AT1G62260",0,1,1,0,0,1,0.401749655059615,2.40174965505962,"activation"
"AT5G54230","MYB","AT4G17430",0,1,1,0,0,1,0.374481540971369,2.37448154097137,"activation"
"AT5G54230","MYB","AT1G77200",0,1,1,0,0,1,0.367154965254333,2.36715496525433,"repression"
"AT1G77200","AP2/ERF-ERF","AT4G37130",0,1,1,0,0,1,0.366488150406589,2.36648815040659,"activation"
"AT1G77200","AP2/ERF-ERF","AT1G62260",0,1,1,0,0,1,0.336649234421066,2.33664923442107,"repression"
"AT3G16280","AP2/ERF-ERF","AT5G65640",0,1,1,1,0,1,0.3272257566671,2.3272257566671,"activation"
"AT3G16280","AP2/ERF-ERF","AT5G43690",0,1,1,1,0,1,0.325082722785357,2.32508272278536,"activation"
"AT1G77200","AP2/ERF-ERF","AT1G32970",0,1,1,0,0,1,0.324277512403176,2.32427751240318,"repression"
"AT5G54230","MYB","AT2G26290",0,1,1,0,0,1,0.308177498563622,2.30817749856362,"activation"
"AT5G54230","MYB","AT4G16970",0,1,1,0,0,1,0.305875100127072,2.30587510012707,"repression"
"AT1G77200","AP2/ERF-ERF","AT4G29690",0,1,1,0,0,1,0.280615818190206,2.28061581819021,"activation"
"AT1G77200","AP2/ERF-ERF","AT5G13220",0,1,1,0,0,1,0.277873070325901,2.2778730703259,"repression"
"AT5G54230","MYB","AT5G05340",0,1,1,0,0,1,0.275818106329708,2.27581810632971,"activation"
"AT1G77200","AP2/ERF-ERF","AT3G15060",0,1,1,0,0,1,0.271817217243245,2.27181721724324,"activation"
"AT1G77200","AP2/ERF-ERF","AT2G31670",0,1,1,0,0,1,0.270097757572962,2.27009775757296,"activation"
"AT1G77200","AP2/ERF-ERF","AT3G59710",0,1,1,0,0,1,0.249833296288064,2.24983329628806,"repression"
"AT1G77200","AP2/ERF-ERF","AT1G63170",0,1,1,0,0,1,0.238069675860883,2.23806967586088,"repression"
"AT5G54230","MYB","AT5G47310",0,1,1,0,0,1,0.219390472515905,2.21939047251591,"activation"
"AT3G16280","AP2/ERF-ERF","AT5G13220",0,1,1,1,0,1,0.206477749772486,2.20647774977249,"repression"
"AT1G77200","AP2/ERF-ERF","AT1G62570",0,1,1,0,0,1,0.201436797275705,2.20143679727571,"repression"
"AT5G54230","MYB","AT5G13220",0,1,1,0,0,1,0.198299831828457,2.19829983182846,"activation"
"AT1G77200","AP2/ERF-ERF","AT5G05340",0,1,1,0,0,1,0.197914001853661,2.19791400185366,"repression"
"AT3G16280","AP2/ERF-ERF","AT1G32970",0,1,1,1,0,1,0.186167156642776,2.18616715664278,"activation"
"AT5G54230","MYB","AT5G07070",0,1,1,0,0,1,0.148368400525064,2.14836840052506,"activation"
"AT1G77200","AP2/ERF-ERF","AT2G03360",0,1,1,0,0,1,0.142358679287221,2.14235867928722,"repression"
"AT3G16280","AP2/ERF-ERF","AT2G26290",0,1,1,1,0,1,0.135531166254975,2.13553116625497,"activation"
"AT1G77200","AP2/ERF-ERF","AT3G30180",0,1,1,0,0,1,0.119410183395052,2.11941018339505,"repression"
"AT3G16280","AP2/ERF-ERF","AT5G19110",0,1,1,1,0,1,0.118399476613252,2.11839947661325,"repression"
"AT5G54230","MYB","AT3G03110",0,1,1,0,0,1,0.114100827437544,2.11410082743754,"repression"
"AT5G54230","MYB","AT1G32970",0,1,1,0,0,1,0.102542703409982,2.10254270340998,"activation"
"AT3G16280","AP2/ERF-ERF","AT4G01140",0,1,1,1,0,1,0.0895544921932337,2.08955449219323,"activation"
"AT3G16280","AP2/ERF-ERF","AT1G62570",0,1,1,1,0,1,0.0424916228763625,2.04249162287636,"activation"
"AT4G17490","AP2/ERF-ERF","AT5G57560",0,0,0,0,1,1,0.998792184426728,1.99879218442673,"activation"
"AT4G17490","AP2/ERF-ERF","AT1G73740",0,0,0,0,1,1,0.998632819871921,1.99863281987192,"activation"
"AT4G17900","PLATZ","AT3G56170",0,0,0,0,1,1,0.998565719006739,1.99856571900674,"activation"
"AT1G77200","AP2/ERF-ERF","AT3G19430",0,1,0,0,0,0,0.996821096512013,1.99682109651201,"activation"
"AT4G17900","PLATZ","AT2G26290",0,0,0,0,1,1,0.995680381803923,1.99568038180392,"activation"
"AT4G17900","PLATZ","AT4G36430",0,0,0,0,1,1,0.995349071282088,1.99534907128209,"activation"
"AT5G54230","MYB","AT2G43390",0,1,0,0,0,0,0.995017760760253,1.99501776076025,"activation"
"AT3G16280","AP2/ERF-ERF","AT1G68340",0,1,0,0,0,0,0.994543860899906,1.99454386089991,"activation"
"AT3G16280","AP2/ERF-ERF","AT4G36800",0,1,0,0,0,0,0.994388690149174,1.99438869014917,"activation"
"AT4G17900","PLATZ","AT5G25460",0,0,0,0,1,1,0.994342558304361,1.99434255830436,"activation"
"AT1G77200","AP2/ERF-ERF","AT1G04010",0,1,0,0,0,0,0.994216744182145,1.99421674418215,"activation"
"AT1G77200","AP2/ERF-ERF","AT2G23630",0,1,0,0,0,0,0.994191581357702,1.9941915813577,"activation"
"AT1G77200","AP2/ERF-ERF","AT1G73430",0,1,0,0,0,0,0.993814138991055,1.99381413899105,"activation"
"AT5G54230","MYB","AT4G27990",0,1,0,0,0,0,0.993684131064765,1.99368413106476,"activation"
"AT3G16280","AP2/ERF-ERF","AT1G34270",0,1,0,0,0,0,0.99351637890181,1.99351637890181,"activation"
"AT4G17900","PLATZ","AT5G63600",0,0,0,0,1,1,0.993176680771828,1.99317668077183,"activation"
